id,User_ID,Cust_name,Product_ID,Gender,Age Group,Age,State,Zone,Occupation,Product_Category,Orders,Amount,Shaadi,age_group2
1,1002903,Sanskriti,P00125942,Female,26-35,28,Maharashtra,Western,Healthcare,Auto,1,23952,No,26-35
2,1004782,Philippe,P00114942,Male,46-50,46,Karnataka,Southern,Hospitality,Footwear & Shoes,1,20815,Yes,46-50
3,1000732,Kartik,P00110942,Female,26-35,35,Andhra Pradesh,Southern,Govt,Auto,3,23934,Yes,26-35
4,1003998,Patterson,P00232242,Female,46-50,47,Delhi,Central,IT Sector,Footwear & Shoes,4,20812,No,46-50
5,1001990,Bindu,P00118542,Female,26-35,35,Uttar Pradesh,Central,Automobile,Auto,3,23924,Yes,26-35
6,1001425,Sudevi,P00237842,Male,0-17,16,Karnataka,Southern,Construction,Auto,2,23912,No,0-17
7,1000284,George,P00034742,Female,26-35,29,Karnataka,Southern,Healthcare,Footwear & Shoes,2,20807,No,26-35
8,1000509,Rohan,P00278042,Female,26-35,28,Delhi,Central,Banking,Footwear & Shoes,2,20805,No,26-35
9,1000588,Joni,P00057942,Male,26-35,28,Gujarat,Western,Food Processing,Auto,2,23877,Yes,26-35
10,1000838,Divyeshkumar,P00363542,Male,51-55,53,Gujarat,Western,Hospitality,Footwear & Shoes,4,20796,Yes,51-55
11,1000588,Joni,P00057942,Male,26-35,28,Himachal Pradesh,Northern,Food Processing,Auto,1,23877,Yes,26-35
12,1001132,Balk,P00018042,Female,18-25,25,Uttar Pradesh,Central,Lawyer,Auto,4,23841,Yes,18-25
13,1000838,Divyeshkumar,P00363542,Male,51-55,53,Rajasthan,Northern,Hospitality,Footwear & Shoes,2,20796,Yes,51-55
14,1002060,Lynn,P00351042,Male,0-17,15,Bihar,Eastern,Healthcare,Footwear & Shoes,4,20788,No,0-17
15,1003224,Kushal,P00205642,Male,26-35,35,Uttar Pradesh,Central,Govt,Auto,2,23809,No,26-35
16,1003650,Ginny,P00031142,Female,26-35,26,Andhra Pradesh,Southern,Media,Auto,4,23799,Yes,26-35
17,1003829,Harshita,P00200842,Male,26-35,34,Delhi,Central,Banking,Auto,1,23770,No,26-35
18,1000850,Bhawna,P00324342,Male,36-45,40,Karnataka,Southern,IT Sector,Footwear & Shoes,3,20783,Yes,36-45
19,1005522,Mitch,P00179742,Female,26-35,35,Delhi,Central,Automobile,Footwear & Shoes,1,20770,Yes,26-35
20,1005153,Ivan,P00190242,Female,26-35,33,Karnataka,Southern,IT Sector,Footwear & Shoes,4,20767,Yes,26-35
21,1000214,Kargatis,P00119142,Female,18-25,20,Andhra Pradesh,Southern,Retail,Auto,2,23752,No,18-25
22,1004035,Elijah,P00080342,Female,18-25,20,Andhra Pradesh,Southern,IT Sector,Auto,2,23730,Yes,18-25
23,1001680,Vasudev,P00324942,Male,26-35,26,Andhra Pradesh,Southern,Automobile,Auto,4,23718,Yes,26-35
24,1000813,Lauren,P00289942,Female,18-25,24,Andhra Pradesh,Southern,Govt,Auto,2,23664,No,18-25
25,1002122,Avila,P00161442,Female,36-45,40,Karnataka,Southern,Aviation,Footwear & Shoes,1,20767,No,36-45
26,1000984,Ben,P00248142,Female,51-55,52,Madhya Pradesh,Central,IT Sector,Tupperware,2,20757,No,51-55
27,1005220,Amlan,P00209842,Female,26-35,27,Delhi,Central,Aviation,Footwear & Shoes,2,20752,Yes,26-35
28,1001193,Mick,P00004842,Female,26-35,29,Andhra Pradesh,Southern,Aviation,Auto,1,23619,No,26-35
29,1001202,Diwakar,P00205442,Female,36-45,45,Delhi,Central,IT Sector,Footwear & Shoes,2,20752,No,36-45
30,1001883,Praneet,P00029842,Male,51-55,54,Uttar Pradesh,Central,Hospitality,Auto,1,23568,Yes,51-55
32,1000113,Ellis,P00180642,Female,18-25,19,Andhra Pradesh,Southern,Govt,Auto,4,23546,Yes,18-25
33,1006014,Sharelle,P00183142,Female,46-50,48,Karnataka,Southern,Aviation,Footwear & Shoes,4,20751,No,46-50
34,1000416,Hrisheekesh,P00181842,Female,46-50,46,Uttar Pradesh,Central,Banking,Auto,2,23525,Yes,46-50
35,1005256,Grant,P00101742,Female,26-35,30,Andhra Pradesh,Southern,IT Sector,Auto,1,23518,No,26-35
36,1005111,Amisha,P00177842,Female,36-45,38,Uttar Pradesh,Central,Media,Footwear & Shoes,4,20751,No,36-45
37,1004227,William,P00059242,Female,26-35,33,Karnataka,Southern,IT Sector,Footwear & Shoes,3,20745,Yes,26-35
38,1001331,Foulston,P00248942,Female,46-50,47,Uttar Pradesh,Central,Banking,Footwear & Shoes,4,20745,Yes,46-50
39,1004937,Ferrer,P00112842,Female,36-45,40,Uttar Pradesh,Central,Media,Footwear & Shoes,2,20744,Yes,36-45
40,1005600,Muskan,P00085242,Male,46-50,47,Haryana,Northern,Automobile,Tupperware,1,20739,No,46-50
41,1001505,Gilcrest,P00271842,Female,51-55,53,Uttar Pradesh,Central,Automobile,Auto,2,23515,No,51-55
42,1000900,Skaria,P00317842,Male,55+,83,Karnataka,Southern,Automobile,Auto,3,23513,No,55+
43,1005908,Eric,P00282642,Female,26-35,33,Andhra Pradesh,Southern,IT Sector,Auto,3,23462,No,26-35
44,1001101,Gibson,P00234742,Female,36-45,40,Uttar Pradesh,Central,Banking,Auto,3,23456,No,36-45
45,1000791,Stuart,P00127842,Male,36-45,44,Karnataka,Southern,IT Sector,Footwear & Shoes,2,20739,Yes,36-45
46,1003888,Beth,P00242742,Female,46-50,46,Madhya Pradesh,Central,Aviation,Footwear & Shoes,2,20729,No,46-50
47,1004736,Mahima,P00058042,Female,18-25,25,Andhra Pradesh,Southern,Banking,Auto,4,23451,Yes,18-25
48,1006016,Sauptik,P00183742,Female,46-50,50,Delhi,Central,Aviation,Footwear & Shoes,4,20714,No,46-50
49,1000604,Pistek,P00304642,Female,46-50,49,Karnataka,Southern,Healthcare,Footwear & Shoes,4,20712,No,46-50
50,1004037,Etezadi,P00190542,Male,51-55,54,Andhra Pradesh,Southern,Govt,Hand & Power Tools,2,23434,Yes,51-55
51,1002340,James,P00119642,Female,36-45,39,Andhra Pradesh,Southern,Aviation,Auto,3,23389,Yes,36-45
52,1000173,Muhammed,P00057642,Female,26-35,29,Uttar Pradesh,Central,Banking,Tupperware,1,20707,Yes,26-35
53,1005664,Dean,P00111642,Female,18-25,20,Andhra Pradesh,Southern,Aviation,Auto,2,23365,No,18-25
54,1002523,Aman,P00293342,Female,26-35,32,Andhra Pradesh,Southern,Food Processing,Auto,3,23326,Yes,26-35
55,1004284,Piyam,P00032042,Female,51-55,53,Karnataka,Southern,Healthcare,Footwear & Shoes,1,20705,No,51-55
56,1002994,Hemant,P00000142,Female,36-45,42,Madhya Pradesh,Central,IT Sector,Footwear & Shoes,2,20691,No,36-45
57,1004016,Dowd,P00123842,Male,51-55,51,Uttar Pradesh,Central,Aviation,Furniture,3,20689,Yes,51-55
58,1005788,Bixby,P00130642,Female,26-35,26,Karnataka,Southern,Banking,Footwear & Shoes,2,20688,Yes,26-35
59,1002503,Mousam,P00220042,Female,36-45,36,Andhra Pradesh,Southern,Automobile,Auto,2,23314,No,36-45
60,1002638,Damala,P00346242,Female,26-35,35,Maharashtra,Western,Media,Auto,2,23306,Yes,26-35
61,1001184,Brandow,P00146342,Male,26-35,30,Maharashtra,Western,Media,Footwear & Shoes,4,20678,No,26-35
62,1004505,Daniels,P00080042,Female,51-55,55,Andhra Pradesh,Southern,Healthcare,Auto,4,23302,Yes,51-55
